id,title,description,image_link,link,price,currency,availability,brand,google_product_category
13359,Manchester (EVENING SHOW): 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-14-Manchester.jpg,https://www.bongosbingo.co.uk/event-date/13359/manchester-evening-show-180426/,19.00,GBP,out of stock,Bongos Bingo,Events
13372,Rochester: 18/04/26,"Bongo’s Bingo is a separate ticketed event in the main upstairs room and Casino Rooms’ regular Saturday Nightclub operation remains unaffected. BONGO’S TICKET HOLDERS WILL GAIN FREE ENTRY TO THE NIGHTCLUB AFTER THE BINGO! This venue is fully air conditioned, has a fully licensed bar and serves snacks - Nachos, Hot Dogs & Popcorn at Bongo’s Bingo events. Unfortunately, this venue is not wheelchair accessible. BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries The Casino Rooms has a portable access ramp to allow easy entry for wheelchair customers from the pavement into the venue's ground floor. Please ask security upon arrival and they will be happy to help with this. Sadly, due to the age of the building, we do not have a lift to the upstairs main room and events space. Wheelchair customers normally get their friends to assist them up the two flights of stairs (17 steps in total) into the main room. Once upstairs, the room is completely flat and also has Disabled Toilet facilities.",https://cdn.bongosbingo.co.uk/media/event_date_description/Image-8-Rochester.jpg,https://www.bongosbingo.co.uk/event-date/13372/rochester-180426/,16.00,GBP,in stock,Bongos Bingo,Events
13421,Sheffield presents 90s vs 00s: 18/04/26,"90s vs 00s: It’s time to settle the argument. Two eras. Two soundtracks. One gloriously chaotic game of Bongo’s Bingo. The 90s bring the anthems you grew up on — hands-in-the-air choruses, iconic pop moments and tunes that still absolutely go off. The 00s fire back with guilty pleasures, club classics and songs you know every word to, whether you admit it or not. All night long we’re putting them head-to-head with the tunes, the prizes and the bragging rights on the line. And yes, fancy dress ideas galore. Think double denim, shell suits and bucket hats versus velour tracksuits, trucker caps and low-rise chaos. If you’ve ever wanted an excuse to dress like a pop star, this is it. Expect huge singalongs, ridiculous prizes, confetti everywhere and a room full of people losing their voices. Bongo’s Bingo: 90s v 00s. Pick a side. Dress the part. Lose all dignity. Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.",https://cdn.bongosbingo.co.uk/media/event_date_description/90s-Vs-00s-SQUARE.jpg,https://www.bongosbingo.co.uk/event-date/13421/sheffield-presents-90s-vs-00s-180426/,17.00,GBP,out of stock,Bongos Bingo,Events
13385,Stoke: 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-16-Stoke.jpg,https://www.bongosbingo.co.uk/event-date/13385/stoke-180426/,17.00,GBP,in stock,Bongos Bingo,Events
13401,Brighton presents 90s vs 00s: 24/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. ID is required from everybody regardless of age. ID must either be one of the following: Drivers Licence Passport National ID card Pass Logo Age Verification Card,https://cdn.bongosbingo.co.uk/media/event_date_description/90s-Vs-00s-SQUARE.jpg,https://www.bongosbingo.co.uk/event-date/13401/brighton-presents-90s-vs-00s-240426/,19.00,GBP,in stock,Bongos Bingo,Events
13336,London Bridge: 24/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-5-London_Bridge.jpg,https://www.bongosbingo.co.uk/event-date/13336/london-bridge-240426/,20.00,GBP,out of stock,Bongos Bingo,Events
13404,Glasgow presents 90s vs 00s: 24/04/26,"90s vs 00s: It’s time to settle the argument. Two eras. Two soundtracks. One gloriously chaotic game of Bongo’s Bingo. The 90s bring the anthems you grew up on — hands-in-the-air choruses, iconic pop moments and tunes that still absolutely go off. The 00s fire back with guilty pleasures, club classics and songs you know every word to, whether you admit it or not. All night long we’re putting them head-to-head with the tunes, the prizes and the bragging rights on the line. And yes, fancy dress ideas galore. Think double denim, shell suits and bucket hats versus velour tracksuits, trucker caps and low-rise chaos. If you’ve ever wanted an excuse to dress like a pop star, this is it. Expect huge singalongs, ridiculous prizes, confetti everywhere and a room full of people losing their voices. Bongo’s Bingo: 90s v 00s. Pick a side. Dress the part. Lose all dignity. Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. Please note: We ask all groups to arrive at the venue together. If you cannot all arrive together, please ensure that the correct tickets are distributed to the correct person. If a customer tries to gain entry into the venue using an already scanned ticket, they may be refused entry.",https://cdn.bongosbingo.co.uk/media/event_date_description/90s-Vs-00s-SQUARE.jpg,https://www.bongosbingo.co.uk/event-date/13404/glasgow-presents-90s-vs-00s-240426/,22.00,GBP,in stock,Bongos Bingo,Events
13364,Newcastle: 24/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-20-Newcastle.jpg,https://www.bongosbingo.co.uk/event-date/13364/newcastle-240426/,18.00,GBP,in stock,Bongos Bingo,Events
13327,Liverpool: 24/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. Our shows will have one of our AMAZING bingo hosts to give you the best Bongo's Bingo experience!,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-17-Liverpool.jpg,https://www.bongosbingo.co.uk/event-date/13327/liverpool-240426/,21.00,GBP,in stock,Bongos Bingo,Events
13424,Wigan presents 90s vs 00s: 24/04/26,"90s vs 00s: It’s time to settle the argument. Two eras. Two soundtracks. One gloriously chaotic game of Bongo’s Bingo. The 90s bring the anthems you grew up on — hands-in-the-air choruses, iconic pop moments and tunes that still absolutely go off. The 00s fire back with guilty pleasures, club classics and songs you know every word to, whether you admit it or not. All night long we’re putting them head-to-head with the tunes, the prizes and the bragging rights on the line. And yes, fancy dress ideas galore. Think double denim, shell suits and bucket hats versus velour tracksuits, trucker caps and low-rise chaos. If you’ve ever wanted an excuse to dress like a pop star, this is it. Expect huge singalongs, ridiculous prizes, confetti everywhere and a room full of people losing their voices. Bongo’s Bingo: 90s v 00s. Pick a side. Dress the part. Lose all dignity. Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.",https://cdn.bongosbingo.co.uk/media/event_date_description/90s-Vs-00s-SQUARE.jpg,https://www.bongosbingo.co.uk/event-date/13424/wigan-presents-90s-vs-00s-240426/,19.00,GBP,in stock,Bongos Bingo,Events
